idx,start,end,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
98,28,38,31.032978,0.24878708,24.813404,32.68996,37.546333,12.732929,332.2368,461.49777,126.08262,141.7728,2.471777,0.44731763,1.5028114,2.2596445,3.4749308,1.9721193,40.459766,20.855005,29.133158,15.793083,2.584675,0.6586806,16.75492,0.9373103,8.649466,1.538678,1.4650155,10.797535,2.1228914,7.0650773,0.048422515,1.4985676,1.4149985,0.7050257,3.214207,1.563665,5.757814,3.2305887,21.391048,0.831088,579.69135,0.45091626,1202.0089,0.24207781,-87.012344,-1.0284991,1591.6536,0.21082285,893.28125,0.2900428,-79.13099,-1.0233225,2672.3425,0.12188013,771.1111,0.3843883,-84.186325,-0.9175798,-10.42728,-0.7095418,21.743607,0.40811995,0.0056615863,8.087081,-0.012881632,-1.0928136,3.0647664,0.5637869,22.80146,0.5579782,6.6208053,1.8867003,0.2914032,58.469563,-0.28443536,-55.110847,-6.0919304,14.301843,-0.03987896,-0.004894536,1.690161,5.3053055,3.7223341,0.16810809,0.12988223,0.091562495,0.07790657,-16.170906
98,61,73,26.55705,0.23977095,21.04379,26.847488,31.788488,10.744698,419.38397,577.5415,116.514145,89.81736,2.112317,0.48420167,1.2403679,1.8944219,2.9574404,1.7170725,26.399845,14.191464,21.285372,10.44513,2.1452208,0.6746307,20.882547,0.7582843,10.448306,1.4893863,5.4045196,2.8376577,5.0093875,2.7880192,0.054372735,1.6826463,1.38763,0.58236355,2.142331,2.1912613,5.212118,2.7311404,20.249296,0.69369906,579.62054,0.45079055,1202.5573,0.2498481,-61.65202,-1.2874473,1613.9539,0.21297307,877.2572,0.36793643,-64.74127,-1.1194879,2649.0876,0.12534909,818.7486,0.4980875,-68.54631,-1.0225106,-11.653587,-0.6355337,21.316555,0.4086959,0.013833045,3.3287866,-0.013763653,-0.9716552,2.2979484,0.6221361,24.504898,0.5564646,8.4855175,1.6375768,5.9388742,2.6888483,5.0344143,2.7898803,-7.029432,14.291384,-0.01006566,-0.011109422,1.7070618,5.1709757,3.9396482,0.17978723,0.13482045,0.06225,0.0381764,-17.187002
98,106,114,27.314615,0.2373832,22.668175,27.373026,32.458485,9.79031,191.4931,136.38322,127.02759,177.83224,2.183314,0.53859675,1.2087485,1.8292025,3.189311,1.9805626,31.90876,17.007381,26.095936,15.725544,2.3009362,0.73696357,21.190924,0.6957401,6.7426047,2.459134,4.0970044,3.9132712,5.5918503,2.575692,0.07103213,1.5761201,1.4230132,0.75472885,1.6530181,2.8101645,7.178793,2.057059,18.781351,0.73135024,559.6646,0.48132494,1236.4294,0.19507855,-56.902412,-1.3470128,1573.9413,0.21841243,893.9855,0.31784156,-57.209957,-1.2329546,2613.8845,0.14150915,767.24255,0.43033132,-61.91355,-1.0949602,-10.772757,-0.69077027,20.177368,0.42602438,0.0186586,2.6091762,-0.012198349,-0.88247836,2.592009,0.68455404,24.942759,0.49031103,4.4242826,3.6118224,5.495182,3.0443854,5.5139313,2.6644862,-6.2476497,13.729507,-0.013561066,-0.008330251,1.313816,4.755945,3.5264482,0.21107143,0.15746517,0.059583332,0.031288862,-16.79854
98,309,324,24.019363,0.28510928,16.697447,24.407196,29.587944,12.890497,359.88617,548.2921,164.75175,262.97562,1.964078,0.51312983,1.0872926,1.7469176,2.8814402,1.7941476,29.797316,18.37281,21.286991,11.687686,2.003111,0.6569093,23.654734,0.69599056,11.729893,1.5019811,3.1499302,4.780637,6.903574,2.048662,0.09683486,1.8103757,1.4760361,0.73866475,0.5726946,8.0942,9.496706,2.719274,20.13143,0.6114491,535.64484,0.4313862,1245.5928,0.18538733,-50.847572,-1.4630046,1543.4104,0.20462687,919.094,0.30762488,-56.764645,-1.2030814,2603.4055,0.12145201,800.69507,0.46140575,-60.960697,-1.0866978,-13.513503,-0.5641792,22.176546,0.4147799,-0.011029164,-3.462913,-0.015707122,-0.8282142,2.096872,0.6125197,26.512676,0.5412023,10.684229,1.5731137,4.8862576,3.0990431,6.8387566,2.1950316,-7.247786,15.019591,-0.020779455,-0.009010747,1.6920112,5.336891,2.95302,0.2590909,0.3392024,0.06945945,0.0544727,-17.740252
99,55,77,32.945732,0.15481687,30.267576,33.159637,36.91254,6.644964,152.77623,181.47661,80.78374,84.45019,1.8212634,0.62165296,0.8186686,1.6166401,2.676731,1.8580625,25.668152,14.064322,19.043182,9.723441,1.8503908,0.80521077,28.501791,0.49119943,7.741616,1.8733301,2.374643,7.8105545,-2.4302995,-6.6167197,0.04445958,1.8147275,1.3205484,0.665196,5.8923473,0.8152347,9.695806,1.1638948,25.685959,0.454424,521.3313,0.39179733,1285.4141,0.177732,-33.299572,-1.878546,1527.5875,0.18543057,961.39984,0.31788313,-38.939377,-1.3562108,2551.2922,0.12823872,890.1505,0.43805587,-46.015263,-1.0884198,-14.653855,-0.54868126,25.983194,0.3571434,0.06398675,0.58521515,-0.018212873,-0.83152944,1.9991007,0.7445518,30.875666,0.39788392,7.8830233,1.8545692,1.8632115,10.366617,-3.2534237,-5.0550017,-3.3408957,11.903311,0.005706434,0.0003416673,0.6146036,4.5020466,1.3223894,0.66827583,0.58783096,0.083913036,0.085553914,-15.864092
99,114,137,30.569271,0.17552552,27.969582,31.325985,34.340954,6.371372,190.26787,206.91351,135.9028,254.62167,1.6247345,0.68558145,0.66749024,1.3673464,2.4406981,1.7732079,26.920856,13.851511,17.670494,8.943464,1.7250438,0.9083505,30.776844,0.47416404,6.388378,2.355806,5.1714654,3.323921,2.0587451,6.796083,0.04896347,2.2309499,1.3819276,0.606276,4.6740217,0.99896616,5.9997945,2.2675722,24.223242,0.5549962,536.89014,0.3915931,1303.5857,0.1830844,-33.898212,-1.8724154,1530.661,0.18445033,1019.5291,0.31052938,-41.950706,-1.3623364,2565.6277,0.12539244,938.7845,0.3938756,-49.120502,-1.099886,-14.538962,-0.6076249,26.845612,0.35785732,0.049879167,0.744964,-0.015005048,-1.0357898,1.8888314,0.83920896,33.451385,0.37096664,6.2978306,2.4253964,5.101698,3.5411925,1.6934676,8.681874,-5.1753435,14.090241,-0.0019232519,-0.0021320968,0.5958014,3.9582427,1.3513514,0.64064515,0.5614321,0.09958333,0.10325853,-16.962631
99,174,185,30.517076,0.2040599,28.185717,31.230114,33.98388,5.7981625,109.650375,113.81805,137.12521,179.7566,1.7962343,0.6651935,0.6906247,1.5821778,2.7079656,2.017341,28.315441,16.835533,19.489424,10.365395,1.9910978,0.94035596,28.967201,0.55690736,6.625503,2.2371209,3.9324455,4.019991,-0.071139224,-209.98476,0.044023953,1.9446387,1.367665,0.60082144,4.3638306,1.0543965,7.063004,1.5217799,25.233437,0.41165274,520.2787,0.40177026,1290.6627,0.19021092,-30.291515,-1.937763,1483.8121,0.18192673,999.6809,0.2786037,-37.432224,-1.4133459,2566.3386,0.12239427,898.55994,0.3876937,-46.331036,-1.0689663,-13.85777,-0.59878767,26.922825,0.3549674,0.04641579,0.8264352,-0.015088236,-1.0437241,2.1239586,0.88844156,32.22138,0.38894838,5.921679,2.4050837,3.5799289,4.6085544,-0.5875369,-26.40832,0.035895683,7.0806756,0.005891603,0.0020842582,0.5955867,3.912648,1.2844037,0.69214284,0.54865,0.099999994,0.07348469,-16.046274
99,631,949,30.436438,0.19139662,27.162971,31.181343,34.89337,7.7304,217.49265,351.46335,105.2661,211.83315,1.6115886,0.6472807,0.68795824,1.4020185,2.413693,1.7257347,25.238491,14.623294,17.605038,10.279365,1.7164252,0.8790072,29.444864,0.5256893,8.492479,1.6752586,4.1287246,3.8623598,-0.34041405,-43.66466,0.05092383,1.9601315,1.392701,0.6421028,4.4963326,1.0582708,7.2773385,1.5902501,26.560072,0.42540562,533.35333,0.39972284,1301.0386,0.1851398,-38.101856,-1.7631379,1513.316,0.18593007,1020.44666,0.30401874,-45.39469,-1.3125108,2557.8862,0.12686384,913.5899,0.4157762,-52.97932,-1.0615376,-15.257789,-0.5555186,27.146128,0.34759954,0.05121011,0.75614846,-0.017423384,-0.8824807,1.8985809,0.8061159,32.80928,0.3860309,8.368467,1.677007,3.7707973,4.421985,-0.92070466,-16.854174,-3.8917525,12.054082,0.0041153063,-0.0011744235,0.60048175,3.9026387,1.6041267,0.5280392,0.5128192,0.08865566,0.09084943,-17.05959
100,54,89,30.601683,0.17381921,27.367218,30.19785,35.12669,7.759472,221.57643,371.6981,73.55679,84.30459,1.2561296,0.6179412,0.6025182,1.0848852,1.8597376,1.2572194,21.230434,11.87084,14.454791,7.7806454,1.2407913,0.87641126,34.726147,0.46988037,7.010367,2.1031141,-1.0589383,-15.610499,-4.7459917,-3.2716355,0.050648205,2.0012338,1.3404588,0.72017556,5.0098867,0.94261223,4.2055697,2.4016075,29.252464,0.37352446,519.57654,0.33858913,1377.6716,0.1678415,-29.846008,-2.0588026,1491.3013,0.17067121,1067.467,0.26204833,-40.198315,-1.3596957,2545.2612,0.11441276,976.8194,0.38479123,-50.102524,-1.0176039,-17.696978,-0.44753337,31.333546,0.313012,0.06684588,0.58686155,-0.029000096,-0.51487625,1.3475442,0.8162926,38.00127,0.35765183,7.4551396,1.9409368,-1.7126559,-9.986856,-5.154543,-3.1219425,-3.2235227,11.08816,0.02861354,-0.011936708,0.41022822,4.401258,1.3169196,0.6658696,0.69843787,0.08945946,0.07569304,-19.643074
100,1026,1034,33.755135,0.17489913,27.60944,34.894924,39.26202,11.65258,144.66504,148.67339,48.263138,22.180113,1.3061429,0.6056248,0.6275326,1.0920948,1.8839289,1.2563963,22.892765,14.643635,15.794541,9.793734,1.3962513,0.8637536,34.23557,0.41533616,2.4675555,6.9343767,-0.8564354,-18.125278,-8.378808,-1.9376985,0.052136093,1.6689441,1.3310776,0.70929617,5.9349275,0.835236,7.688609,1.2586374,29.768778,0.43372786,553.8373,0.34031603,1406.1865,0.1530799,-39.380836,-1.6904448,1532.5596,0.17994197,1099.2755,0.24181849,-44.48991,-1.2605467,2599.53,0.12596583,1002.4766,0.37430158,-53.662685,-0.9768357,-18.269432,-0.4884428,31.710093,0.32769826,0.075818345,0.48025233,-0.028207807,-0.56232625,1.5450467,0.786335,37.437412,0.30569828,2.5689733,6.7077227,-1.5973475,-10.024003,-9.715594,-1.7302688,-4.9835563,12.910831,0.03897785,-0.012245714,0.43525273,4.8811016,1.6393443,0.5246154,0.26644716,0.06,0.030237157,-19.64546
